   x  ||       atan(-x)    ||   atan'(-x)      ||   atan'(-x)      ||    atan''(-x)    ||   atan''(-x)  
      ||                   ||analytical formula|| finite difference||analytical formula||finite difference
    ===========================================================================================================
0.100 ||       -0.100      ||     0.990       ||      0.984        ||     0.196        ||     0.148
0.150 ||       -0.149      ||     0.978       ||      0.970        ||     0.287        ||     0.242
0.200 ||       -0.197      ||     0.962       ||      0.952        ||     0.370        ||     0.329
0.250 ||       -0.245      ||     0.941       ||      0.930        ||     0.443        ||     0.407
0.300 ||       -0.291      ||     0.917       ||      0.904        ||     0.505        ||     0.475
0.350 ||       -0.337      ||     0.891       ||      0.877        ||     0.556        ||     0.531
0.400 ||       -0.381      ||     0.862       ||      0.847        ||     0.595        ||     0.576
0.450 ||       -0.423      ||     0.832       ||      0.816        ||     0.622        ||     0.609
0.500 ||       -0.464      ||     0.800       ||      0.784        ||     0.640        ||     0.632
0.550 ||       -0.503      ||     0.768       ||      0.752        ||     0.648        ||     0.645
0.600 ||       -0.540      ||     0.735       ||      0.719        ||     0.649        ||     0.649
0.650 ||       -0.576      ||     0.703       ||      0.687        ||     0.642        ||     0.646
0.700 ||       -0.611      ||     0.671       ||      0.656        ||     0.631        ||     0.637
0.750 ||       -0.644      ||     0.640       ||      0.625        ||     0.614        ||     0.623
0.800 ||       -0.675      ||     0.610       ||      0.595        ||     0.595        ||     0.605
0.850 ||       -0.704      ||     0.581       ||      0.566        ||     0.573        ||     0.584
0.900 ||       -0.733      ||     0.552       ||      0.539        ||     0.549        ||     0.561
0.950 ||       -0.760      ||     0.526       ||      0.513        ||     0.525        ||     0.537
